unix_timestamp,6:*:* 28.32%  ,6:443:* 25.32%  [* 202.0.0.0/8] 38.83% [* 163.0.0.0/8] 25.66% [* 163.45.64.0/19] 15.96% ,6:80:* 14.36%  [203.0.0.0/8 *] 22.79% [17.242.180.48/29 163.45.0.0/16] 20.43% [* 163.45.0.0/17] 15.64% [17.242.184.0/22 *] 13.31% ,6:*:443 8.11%  [163.45.0.0/16 *] 32.08% [163.45.72.22 34.0.0.0/8] 27.60% [163.45.72.22 52.0.0.0/8] 23.06% [163.45.72.22 54.0.0.0/8] 13.80% ,17:443:* 4.56%  [74.115.0.0/16 163.45.0.0/16] 16.25% [* 163.45.92.0/22] 12.87% ,TOTAL
1512639000,17231023707,8358280117,15871626436,5172979226,1843274245,48477183731
1512639600,16490375993,10047930774,10666752565,5353642228,2191883996,44750585556
1512640200,14645452726,10154169163,6446733646,5132288214,2114926519,38493570268
1512640800,14288945688,8836754918,5973044603,4267310969,2343858819,35709914997
1512641400,15202053306,7458841688,7146260378,3992254769,1917839389,35717249530
1512642000,14717027598,7575507421,8482785454,5070248901,2022296996,37867866370
1512642600,14991525659,8003368767,7034754197,3926134013,2520615721,36476398357
1512643200,13387059860,6118431232,5490123499,4841554993,2639815474,32476985058
1512643800,13271661656,7447443681,4575186185,6459034625,2649028192,34402354339
1512644400,15442060806,7902589547,3355154100,5407844380,3132303228,35239952061
1512645000,13829406175,8800676498,3479511716,4616335601,2549308329,33275238319
1512645600,12928107312,8696109008,7251169510,4578893877,3423102496,36877382203
1512646200,13621274219,9968377599,4162031221,4950290079,3532764044,36234737162
1512646800,14754440317,11353112093,5351623731,4418247154,3220624713,39098048008
1512647400,13429188512,12074102281,3431558120,4364251700,2605232261,35904332874
1512648000,14442156914,10080105505,2630669565,4764436639,3446110796,35363479419
1512648600,13536528014,9159093806,12895266895,3927683243,3609099651,43127671609
1512649200,13225115407,10954635856,4510013884,4727872499,4231569804,37649207450
1512649800,12054554197,12140152510,3211735472,4418315648,4232230061,36056987888
1512650400,13879501748,6385625348,4553217906,4115425263,4026798700,32960568965
1512651000,15863454855,4820511760,3765566016,5220032865,4243231697,33912797193
1512651600,14487242449,5856480886,7558674473,4289763268,3830750692,36022911768
1512652200,13247810601,7603023808,3538987137,3782264930,3592534421,31764620897
1512652800,11023144946,7804677821,6291307507,4559790971,3277065517,32955986762
1512653400,11119822911,6862612284,6093758079,4277174687,3446074951,31799442912
1512654000,14809335717,6009928512,5088078628,4486369558,3344112029,33737824444
1512654600,11350203448,14760413481,4926471582,4406213471,3984403239,39427705221
1512655200,13437475083,8369334593,5417186840,3930345216,4102995982,35257337714
1512655800,13831098545,5677707638,6222074605,4282449166,3206989313,33220319267
1512656400,12290355580,6710049767,4609085333,3981263050,3554993653,31145747383
1512657000,12223566412,4716421261,13069219009,4095127515,3749804679,37854138876
1512657600,13193357429,6757331175,6789839120,3599749355,3107866168,33448143247
1512658200,12190075324,7094889638,4207077315,4732285578,2015931520,30240259375
